"t","tested","positive"
796,9962,8724
797,9893,8634
798,10055,8798
799,10143,8857
800,10042,8691
801,10067,8795
802,10057,8715
803,9826,8564
804,10038,8640
805,10068,8746
806,10182,8784
807,9970,8549
808,10053,8633
809,10068,8624
810,9920,8502
811,10057,8554
812,9992,8529
813,9846,8421
814,10091,8547
815,10025,8501
816,9990,8465
817,9913,8354
818,10058,8460
819,9947,8284
820,9983,8361
821,10149,8568
822,9877,8297
823,9838,8215
824,10200,8483
825,9760,8094
826,9854,8221
827,9997,8296
828,9923,8188
829,9839,8086
830,10171,8430
831,10054,8336
832,9778,8061
833,10032,8273
834,9918,8137
835,9988,8169
836,9942,8183
837,10009,8196
838,10035,8220
839,9870,8041
840,10044,8285
841,9874,8091
842,10121,8307
843,9979,8274
844,10047,8236
845,10049,8235
846,9932,8195
847,10056,8289
848,9973,8224
849,10018,8140
850,10054,8217
851,9972,8132
852,9868,7999
853,9983,8132
854,10011,8265
855,10031,8254
856,9997,8254
857,9989,8204
858,10113,8274
859,10023,8219
860,9929,8201
861,10037,8266
862,10047,8302
863,9895,8101
864,9976,8277
865,10093,8343
866,9964,8256
867,10052,8304
868,9939,8209
869,9965,8196
870,9915,8163
871,9951,8200
872,10145,8368
873,9924,8189
874,9897,8125
875,10036,8288
876,10133,8384
877,9964,8194
878,10002,8255
879,9999,8316
880,9867,8164
881,10038,8299
882,9953,8216
883,10088,8301
884,10148,8391
885,10087,8318
886,9975,8241
887,10062,8382
888,10077,8354
889,10080,8469
890,10105,8530
891,10255,8615
892,9919,8453
893,10037,8514
894,9968,8534
895,10081,8709
896,10025,8793
897,9792,8564
898,9916,8711
899,10328,9193
900,9884,8813
901,10023,8982
902,10066,9115
903,10131,9158
904,9996,9107
905,10080,9190
906,10050,9193
907,10063,9237
908,9881,9096
909,10020,9273
910,10146,9403
911,10003,9267
912,9881,9193
913,10001,9307
914,10122,9524
915,10040,9433
916,10054,9461
917,9913,9339
918,10221,9576
919,10022,9465
920,9861,9246
921,9953,9410
922,9936,9357
923,9929,9342
924,9978,9384
925,10124,9524
926,9974,9429
927,9907,9362
928,9799,9298
929,10077,9549
930,9869,9295
931,9966,9427
932,10074,9505
933,10051,9476
934,9838,9244
935,10009,9445
936,10056,9517
937,9625,9075
938,9798,9232
939,10045,9466
940,9971,9442
941,9801,9253
942,9920,9356
943,9802,9279
944,9940,9395
945,9965,9379
946,10201,9623
947,9980,9448
948,9988,9401
949,9815,9227
950,9971,9418
951,9984,9378
952,9934,9362
953,9980,9428
954,9972,9410
955,10089,9534
956,10110,9511
957,9800,9242
958,10088,9523
959,9832,9255
960,10177,9556
961,10102,9507
962,10033,9478
963,9999,9443
964,9879,9324
965,10007,9410
966,9970,9440
967,10078,9503
968,10001,9435
969,10110,9508
970,10116,9531
971,9975,9446
972,10078,9503
973,10106,9516
974,9970,9377
975,9875,9306
976,9904,9292
977,9935,9292
978,9752,9175
979,9930,9281
980,9909,9311
981,9962,9368
982,10027,9363
983,10097,9458
984,9929,9291
985,10212,9592
986,10045,9404
987,10060,9411
988,9886,9207
989,9983,9318
990,10136,9431
991,10050,9342
992,9946,9224
993,9948,9229
994,10060,9334
995,10241,9465
996,10075,9300
997,10090,9322
998,10162,9364
999,10030,9243
1000,10089,9279
1001,9882,9129
1002,9928,9167
1003,10091,9274
1004,9962,9173
1005,9925,9144
1006,10002,9191
1007,10052,9219
1008,10049,9198
1009,10064,9218
1010,10153,9284
1011,10076,9239
1012,9979,9094
1013,9983,9135
1014,10133,9250
1015,9891,8997
1016,9969,9130
1017,9962,9069
1018,10072,9166
1019,9900,8982
1020,10163,9241
1021,10093,9221
1022,10131,9199
1023,9996,9072
1024,10089,9167
1025,10164,9203
1026,10032,9049
1027,9824,8920
1028,9854,8924
1029,9990,9059
1030,10179,9203
1031,9894,8928
1032,9805,8909
1033,9944,8961
1034,9975,9061
1035,10106,9082
1036,9908,8926
1037,10139,9129
1038,10048,8988
1039,10014,8957
1040,9789,8757
1041,9916,8896
1042,10060,9026
1043,10059,9026
1044,10138,9055
1045,10004,8932
1046,10052,8927
1047,9752,8668
1048,10086,9003
1049,9933,8749
1050,10106,8944
1051,9972,8839
1052,10137,8928
1053,10000,8862
1054,10184,8924
1055,10071,8806
1056,10063,8755
1057,9958,8722
1058,9736,8460
1059,9972,8718
1060,9996,8637
1061,9628,8340
1062,10019,8641
1063,9820,8424
1064,10014,8666
1065,10005,8594
1066,10212,8765
1067,10175,8767
1068,10068,8664
1069,9907,8489
1070,9989,8456
1071,10014,8582
1072,9994,8530
1073,9928,8416
1074,9841,8436
1075,10020,8460
1076,9971,8469
1077,10036,8495
1078,9900,8411
1079,10100,8576
1080,9976,8447
1081,10252,8659
1082,10115,8559
1083,9948,8423
1084,10107,8553
1085,9962,8429
1086,10177,8590
1087,9983,8438
1088,10097,8554
1089,9919,8364
1090,9965,8322
1091,10019,8430
1092,10083,8474
1093,10112,8462
1094,9942,8348
1095,9956,8339
1096,9841,8281
1097,9952,8323
1098,9968,8346
1099,9946,8323
1100,9811,8231
1101,10072,8466
1102,10194,8479
1103,10081,8538
1104,9962,8296
1105,10030,8377
1106,9961,8393
1107,10117,8454
1108,10057,8270
1109,9959,8375
1110,10024,8305
1111,10039,8410
1112,9953,8268
1113,10049,8325
1114,9894,8286
1115,9933,8265
1116,9961,8287
1117,9833,8172
1118,9846,8159
1119,10093,8398
1120,10086,8331
1121,10118,8405
1122,10034,8362
1123,10031,8337
1124,9798,8167
1125,10043,8357
1126,9926,8235
1127,10128,8409
1128,9896,8209
1129,9944,8312
1130,10040,8321
1131,9929,8237
1132,10133,8471
1133,10039,8384
1134,10116,8442
1135,10043,8386
1136,10069,8486
1137,9854,8302
1138,10027,8434
1139,10205,8625
1140,10039,8455
1141,9776,8227
1142,10048,8499
1143,10029,8510
1144,10037,8550
1145,9972,8487
1146,9906,8524
1147,9738,8337
1148,9911,8423
1149,10036,8580
1150,10105,8632
1151,10097,8658
1152,9898,8560
1153,10120,8691
1154,10108,8793
1155,10022,8650
1156,10239,8885
1157,10022,8670
1158,9923,8628
1159,10095,8720
1160,10027,8711
1161,9869,8513
1162,9996,8663
1163,10173,8901
1164,9915,8602
1165,10062,8753
1166,10096,8743
1167,10278,8878
1168,10129,8784
1169,10109,8751
1170,10097,8697
1171,10016,8664
1172,10118,8750
1173,10097,8753
1174,10102,8689
1175,10068,8638
1176,10036,8647
1177,9996,8623
1178,9814,8439
1179,9957,8550
1180,9838,8398
1181,9948,8645
1182,10023,8589
1183,10076,8628
1184,9971,8453
1185,10034,8558
1186,10024,8486
1187,9932,8453
1188,10098,8623
1189,9851,8377
1190,9979,8481
1191,9832,8383
1192,9804,8309
1193,10013,8480
1194,9932,8446
1195,9914,8486
1196,10024,8446
1197,10223,8551
1198,9967,8426
1199,10010,8481
1200,9865,8289
1201,9914,8278
1202,10062,8510
1203,10030,8439
1204,9943,8348
1205,9984,8371
1206,9766,8205
1207,10051,8402
1208,10035,8334
1209,9895,8216
1210,10034,8359
1211,9980,8352
1212,9948,8232
1213,9913,8149
1214,10118,8409
1215,10080,8387
1216,9814,8126
1217,10097,8420
1218,9966,8336
1219,9939,8368
1220,9850,8231
1221,9929,8340
1222,9932,8351
1223,9900,8416
1224,10158,8674
1225,10237,8827
1226,9792,8443
1227,10171,8853
1228,10093,8782
1229,9953,8681
1230,9893,8750
1231,10013,8927
1232,10080,8989
1233,10006,9045
1234,9980,8987
1235,9877,8908
1236,9868,8918
1237,9964,9014
1238,10049,9194
1239,9906,9133
1240,9973,9205
1241,10167,9347
1242,10066,9334
1243,10013,9268
1244,10018,9336
1245,9992,9313
1246,9936,9262
1247,10093,9432
1248,10056,9395
1249,9874,9239
1250,10044,9419
1251,10067,9453
1252,9883,9294
1253,10054,9427
1254,10005,9394
1255,10025,9391
1256,10008,9394
1257,10017,9396
1258,10181,9580
1259,10095,9465
1260,10071,9468
1261,9893,9259
1262,9903,9303
1263,9954,9352
1264,9914,9348
1265,9915,9303
1266,10107,9513
1267,10023,9410
1268,10062,9441
1269,9939,9317
1270,10145,9502
1271,10134,9486
1272,10100,9491
1273,9960,9345
1274,9778,9186
1275,9841,9242
1276,9998,9315
1277,10028,9398
1278,9934,9307
1279,9789,9194
1280,10112,9520
1281,10150,9520
1282,10032,9448
1283,9960,9380
1284,10045,9463
1285,10090,9507
1286,10000,9411
1287,9913,9391
1288,9897,9328
1289,9903,9304
1290,10005,9470
1291,10184,9638
1292,9940,9391
1293,9888,9348
1294,10165,9605
1295,10016,9466
1296,9898,9342
1297,10065,9546
1298,10117,9554
1299,9986,9496
1300,10088,9604
1301,10023,9560
1302,10076,9548
1303,10115,9620
1304,9952,9430
1305,9842,9338
1306,10029,9526
1307,10003,9480
1308,10000,9516
1309,10010,9495
1310,9804,9243
1311,9898,9392
1312,9859,9331
1313,9986,9434
1314,9987,9429
1315,10108,9553
1316,10043,9464
1317,10286,9710
1318,9968,9343
1319,9971,9354
1320,10059,9397
1321,9959,9327
1322,9939,9357
1323,9917,9259
1324,10172,9484
1325,9932,9259
1326,10093,9371
1327,10041,9363
1328,9974,9238
1329,10040,9280
1330,10162,9352
1331,10150,9405
1332,10096,9327
1333,9860,9088
1334,10103,9300
1335,9944,9201
1336,10155,9315
1337,9875,9084
1338,9938,9134
1339,9888,9064
1340,10032,9228
1341,10075,9281
1342,9991,9218
1343,10117,9292
1344,9938,9100
1345,9898,9077
1346,10018,9169
1347,10130,9331
1348,9906,9109
1349,9850,9038
1350,10126,9305
1351,10083,9267
1352,10018,9279
1353,9936,9113
1354,9748,8956
1355,9928,9095
1356,10102,9332
1357,10099,9292
1358,9936,9194
1359,9897,9146
1360,10051,9281
1361,9962,9173
1362,10044,9339
1363,9930,9197
1364,10022,9257
1365,9997,9212
1366,9884,9133
1367,10082,9334
1368,9869,9134
1369,9940,9187
1370,10017,9305
1371,10069,9337
1372,9853,9100
1373,9855,9154
1374,10174,9475
1375,10125,9378
1376,10172,9439
1377,10107,9361
1378,10084,9363
1379,9994,9279
1380,9929,9182
1381,10122,9395
1382,9842,9106
1383,10142,9357
1384,10033,9259
1385,10040,9312
1386,10075,9311
1387,9839,9119
1388,9930,9249
1389,10058,9359
1390,10144,9393
1391,9951,9226
1392,10183,9470
1393,9988,9243
1394,10048,9273
1395,9806,9099
1396,10003,9243
1397,10004,9267
1398,9998,9206
1399,10229,9484
1400,10175,9419
1401,9945,9161
1402,10188,9338
1403,10014,9187
1404,9960,9176
1405,9924,9115
1406,10057,9208
1407,9952,9065
1408,9944,9021
1409,10148,9156
1410,9920,8969
1411,9971,8975
1412,10060,9010
1413,10042,8983
1414,10024,9002
1415,10034,8913
1416,10080,8973
1417,10048,8890
1418,10235,9029
1419,10120,8837
1420,10038,8839
1421,10152,8851
1422,9838,8542
1423,10072,8701
1424,10022,8668
1425,10116,8770
1426,10166,8741
1427,10066,8590
1428,10208,8717
1429,9944,8445
1430,9920,8393
1431,9957,8429
1432,9940,8368
1433,9995,8342
1434,9844,8186
1435,10054,8337
1436,10123,8357
1437,9852,8176
1438,9849,8174
1439,10087,8314
1440,10151,8301
1441,9727,8004
1442,10089,8300
1443,9940,8125
1444,10154,8283
1445,9998,8136
1446,10072,8224
1447,9915,8090
1448,10031,8147
1449,10087,8203
1450,10075,8136
1451,9889,7989
1452,9976,8108
1453,9895,8020
1454,10061,8125
1455,9913,7981
1456,10073,8154
1457,9923,7991
1458,10031,8146
1459,9934,8000
1460,9997,8003
1461,9932,7972
1462,10005,8046
1463,10028,8075
1464,10005,7999
1465,9900,8008
1466,10164,8174
1467,9950,7998
1468,9926,8060
1469,10112,8144
1470,10045,8116
1471,10053,8111
1472,9846,7972
1473,9906,8078
1474,10015,8169
1475,9852,7926
1476,9978,8140
1477,9727,7911
1478,9987,8151
1479,9998,8174
1480,9846,8070
1481,10035,8165
1482,9772,7997
1483,9864,8098
1484,10006,8166
1485,10119,8351
1486,9995,8204
1487,9964,8271
1488,10197,8394
1489,10038,8252
1490,9914,8163
1491,10107,8400
1492,9813,8120
1493,10084,8347
1494,9963,8278
1495,9974,8203
1496,9890,8178
1497,9959,8283
1498,9913,8243
1499,9965,8275
1500,9940,8241
1501,10011,8284
1502,10023,8304
1503,9838,8175
1504,9939,8172
1505,9975,8216
1506,10097,8378
1507,10182,8517
1508,9984,8261
1509,10008,8326
1510,9940,8237
1511,9998,8249
1512,9999,8309
1513,9905,8248
1514,9994,8236
1515,10077,8352
1516,9930,8226
1517,10119,8426
1518,9744,8062
1519,10146,8385
1520,10022,8366
1521,10190,8445
1522,10010,8229
1523,9950,8215
1524,10076,8253
1525,10174,8328
1526,9838,8152
1527,9915,8152
1528,10026,8200
1529,10105,8326
1530,9923,8188
1531,10001,8120
1532,9939,8051
1533,10028,8173
1534,9995,8133
1535,9982,8056
1536,9893,8025
1537,9914,7994
1538,10062,8149
1539,10206,8259
1540,10202,8229
1541,9929,7979
1542,10072,8024
1543,9989,8026
1544,10169,8133
1545,10150,8113
1546,10046,8008
1547,10174,8003
1548,9946,7918
1549,9829,7778
1550,10114,7982
1551,10175,8028
1552,10097,7948
1553,9906,7803
1554,9949,7789
1555,9852,7682
1556,9886,7652
1557,9858,7639
1558,10182,7982
1559,9868,7612
1560,10114,7771
1561,10023,7644
1562,9951,7582
1563,10116,7629
1564,10195,7711
1565,10104,7601
1566,10022,7504
1567,10067,7445
1568,9950,7468
1569,9982,7352
1570,10066,7478
1571,10088,7413
1572,10001,7258
1573,9928,7208
1574,10303,7406
1575,10048,7213
1576,10080,7236
1577,9924,7126
1578,9864,6962
1579,10036,7007
1580,9906,6987
1581,9933,6999
1582,10023,7102
1583,9950,6991
1584,10193,7034
1585,9897,6837
1586,9877,6813
1587,10100,6812
1588,9898,6693
1589,10056,6828
1590,10090,6879
1591,10001,6736
1592,10035,6776
1593,9981,6690
1594,9866,6504
1595,9979,6635
1596,10055,6644
1597,9931,6528
1598,10044,6557
1599,9899,6380
1600,9892,6422
1601,10033,6464
1602,9927,6403
1603,9996,6316
1604,10152,6457
1605,10007,6392
1606,9841,6267
1607,9991,6349
1608,10035,6388
1609,9946,6234
1610,10011,6254
1611,9978,6217
1612,9948,6155
1613,10074,6266
1614,9935,6126
1615,10080,6269
1616,10046,6217
1617,9938,6034
1618,9957,6036
1619,10089,6168
1620,9851,5886
1621,9995,6136
1622,10002,5930
1623,10094,6088
1624,9883,5933
1625,10170,5991
1626,10047,5937
1627,10033,6065
1628,9999,5893
1629,10022,5956
1630,9978,5960
1631,9940,5876
1632,10017,5988
1633,9968,5830
1634,9947,5883
1635,10148,5973
1636,9971,5866
1637,9891,5819
1638,9810,5728
1639,9799,5669
1640,10142,5903
1641,9885,5783
1642,9892,5695
1643,10137,5920
1644,9963,5810
1645,9942,5923
1646,10192,5897
1647,10136,5847
1648,10057,5823
1649,9885,5669
1650,9975,5759
1651,10056,5862
1652,10068,5912
1653,10056,5812
1654,10047,5839
1655,9951,5693
1656,10061,5846
1657,10070,5978
1658,9967,5777
1659,10002,5876
1660,10050,5840
1661,9948,5817
1662,9869,5846
1663,9888,5896
